title,genres
Steamboy,"Animation,Fantasy,Science Fiction"
The Game of Their Lives,"D,r,a,m,a"
All Good Things,"Drama,Mystery,Thriller,Crime,Romance"
Rapa Nui,"A,d,v,e,n,t,u,r,e"
CJ7,"Comedy,Drama,Family,Fantasy,Science Fiction"
The Visitors II: The Corridors of Time,"Comedy,Fantasy"
Dylan Dog: Dead of Night,"Action,Comedy,Horror,Mystery,Science Fiction,Thriller"
People I Know,"Drama,Thriller"
The Tempest,"Drama,Fantasy"
Regression,"Horror,Mystery,Thriller"
Three Kingdoms: Resurrection of the Dragon,"Action,History,Drama"
Butterfly on a Wheel,"Crime,Drama,Thriller"
Zambezia,"Comedy,Animation,Adventure,Family"
Ramanujan,"Drama,History"
Dwegons,"A,n,i,m,a,t,i,o,n"
Hands of Stone,"D,r,a,m,a"
Survivor,"T,h,r,i,l,l,e,r"
The Frozen Ground,"Thriller,Crime"
The Painted Veil,"Drama,Romance"
The Baader Meinhof Complex,"Action,Crime,Drama,History,Thriller"
Dances with Wolves,"Adventure,Drama,Western"
Bad Teacher,"C,o,m,e,d,y"
Sea of Love,"Drama,Crime,Mystery"
A Cinderella Story,"C,o,m,e,d,y"
Scream,"Crime,Horror,Mystery"
Thir13en Ghosts,"Horror,Thriller"
The Shining,"Horror,Thriller"
Back to the Future,"Adventure,Comedy,Science Fiction,Family"
House on Haunted Hill,"Horror,Mystery,Thriller"
I Can Do Bad All By Myself,"Drama,Comedy"
Fight Valley,"Action,Drama"
The Switch,"Comedy,Romance,Drama"
Just Married,"C,o,m,e,d,y"
The Devil's Double,"Drama,Action,Thriller,Crime,War"
Thomas and the Magic Railroad,"Animation,Drama,Family,Science Fiction"
The Crazies,"Mystery,Horror,Action"
Spirited Away,"Fantasy,Adventure,Animation,Family"
Firestorm,"Action,Crime"
The Bounty,"Action,Drama,History"
The Book Thief,"D,r,a,m,a"
Sex Drive,"Comedy,Adventure,Romance"
Leap Year,"Romance,Comedy"
The Fall of the Roman Empire,"Drama,History"
Take Me Home Tonight,"Comedy,Drama,Romance"
Won't Back Down,"D,r,a,m,a"
The Nutcracker,"Family,Fantasy,Music"
Kansas City,"Thriller,Drama,Music,Crime"
Indignation,"D,r,a,m,a"
The Amityville Horror,"Horror,Thriller,Drama"
Adaptation.,"Comedy,Crime,Drama"
Land of the Dead,"H,o,r,r,o,r"
Out of Inferno,"A,c,t,i,o,n"
Fear and Loathing in Las Vegas,"Adventure,Drama,Comedy"
The Invention of Lying,"Comedy,Romance,Fantasy"
Neighbors,"C,o,m,e,d,y"
The Mask,"Romance,Comedy,Crime,Fantasy"
Big,"Fantasy,Drama,Comedy,Romance,Family"
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,"C,o,m,e,d,y"
Legally Blonde,"C,o,m,e,d,y"
Star Trek III: The Search for Spock,"Science Fiction,Action,Adventure,Thriller"
The Exorcism of Emily Rose,"Crime,Drama,Horror,Thriller"
Deuce Bigalow: Male Gigolo,"C,o,m,e,d,y"
Left Behind,"Thriller,Action,Science Fiction"
The Family Stone,"Comedy,Drama,Romance"
Barbershop 2:  Back in Business,"Comedy,Drama"
Bad Santa,"Drama,Comedy,Crime"
Austin Powers: International Man of Mystery,"Science Fiction,Comedy,Crime"
My Big Fat Greek Wedding 2,"Romance,Comedy,Family"
Diary of a Wimpy Kid: Rodrick Rules,"Family,Comedy"
Predator,"Science Fiction,Action,Adventure,Thriller"
Amadeus,"Drama,History,Music"
Prom Night,"Crime,Horror"
Mean Girls,"C,o,m,e,d,y"
Under the Tuscan Sun,"Comedy,Drama,Romance"
Gosford Park,"Drama,Mystery,Thriller"
Peggy Sue Got Married,"Comedy,Drama,Fantasy,Romance"
Birdman,"Drama,Comedy"
Blue Jasmine,"Comedy,Drama"
United 93,"Drama,History,Crime,Thriller,Action"
Honey,"Romance,Music,Family"
Spy Hard,"Action,Comedy"
The Fog,"H,o,r,r,o,r"
Soul Surfer,"Action,Drama"
Catch-22,"War,Comedy,Drama"
Observe and Report,"Comedy,Crime,Drama"
Conan the Destroyer,"Adventure,Fantasy,Action"
Raging Bull,"D,r,a,m,a"
Love Happens,"Drama,Romance"
Young Sherlock Holmes,"Action,Adventure,Crime,Drama,Family,Mystery,Thriller"
Fame,"Music,Comedy,Drama,Romance"
127 Hours,"Adventure,Drama,Thriller"
Small Time Crooks,"Action,Comedy,Crime"
Center Stage,"Drama,Music"
Love the Coopers,"Comedy,Family"
Catch That Kid,"Family,Action,Adventure"
Life as a House,"D,r,a,m,a"
Steve Jobs,"Drama,History"
"I Love You, Beth Cooper","Comedy,Romance"
Youth in Revolt,"Drama,Comedy,Romance"
The Legend of the Lone Ranger,"Action,Adventure,Romance,Western"
The Tailor of Panama,"Drama,Thriller"
Blow Out,"Drama,Mystery,Thriller"
Getaway,"Action,Crime"
The Ice Storm,"D,r,a,m,a"
And So It Goes,"Comedy,Drama,Romance"
Troop Beverly Hills,"Adventure,Comedy,Family"
Being Julia,"Comedy,Drama,Romance"
Nine 1/2 Weeks,"Drama,Romance"
Dragonslayer,"F,a,n,t,a,s,y"
The Last Station,"Drama,Romance"
Ed Wood,"Comedy,Drama,History"
Labor Day,"D,r,a,m,a"
Mongol: The Rise of Genghis Khan,"H,i,s,t,o,r,y"
RockNRolla,"Action,Crime,Thriller"
Megaforce,"Adventure,Action,Science Fiction"
Hamlet,"D,r,a,m,a"
Mao's Last Dancer,"Drama,Romance"
Midnight Special,"Adventure,Drama,Science Fiction"
Anything Else,"Comedy,Romance"
The Railway Man,"Drama,History"
The White Ribbon,"Crime,Drama,Mystery"
Restoration,"H,o,r,r,o,r"
The Wraith,"Romance,Science Fiction,Horror,Action,Crime"
Salton Sea,"Drama,Mystery,Thriller"
Metallica: Through the Never,"M,u,s,i,c"
The Informers,"D,r,a,m,a"
Carlos,"Crime,Drama,Thriller,History"
I Come with the Rain,"Thriller,Drama"
One Man's Hero,"Western,Action,Drama,History"
Day of the Dead,"Horror,Science Fiction"
I Am Wrath,"Action,Crime,Drama,Thriller"
Renaissance,"Action,Animation,Science Fiction"
Red Sonja,"Adventure,Fantasy,Action"
Red Lights,"T,h,r,i,l,l,e,r"
Superbad,"C,o,m,e,d,y"
Madea Goes to Jail,"Comedy,Crime,Drama"
Wolves,"Horror,Action"
Step Up 2: The Streets,"Music,Drama,Romance"
Hoodwinked!,"Animation,Comedy,Family"
Hotel Rwanda,"Drama,History,War"
Hitman,"Action,Crime,Drama,Thriller"
Black Nativity,"Drama,Music"
The Prince,"Thriller,Action"
City of Ghosts,"T,h,r,i,l,l,e,r"
The Others,"Horror,Drama,Mystery,Thriller"
Aliens,"Horror,Action,Thriller,Science Fiction"
My Fair Lady,"Drama,Family,Music,Romance"
I Know What You Did Last Summer,"Horror,Thriller,Mystery"
Let's Be Cops,"C,o,m,e,d,y"
Sideways,"Comedy,Drama,Romance"
Beerfest,"C,o,m,e,d,y"
Halloween,"Horror,Thriller"
Good Boy!,"Comedy,Family,Science Fiction"
The Best Man Holiday,"C,o,m,e,d,y"
Smokin' Aces,"Action,Comedy,Crime,Thriller"
Saw: The Final Chapter,"Horror,Crime"
40 Days and 40 Nights,"Comedy,Romance"
A Night at the Roxbury,"C,o,m,e,d,y"
Beastly,"Drama,Fantasy,Romance"
The Hills Have Eyes,"Horror,Thriller"
Dickie Roberts: Former Child Star,"C,o,m,e,d,y"
"McFarland, USA","D,r,a,m,a"
Lottery Ticket,"C,o,m,e,d,y"
ATL,"D,r,a,m,a"
Pitch Perfect,"Comedy,Music,Romance"
Summer Catch,"Drama,Comedy,Romance"
A Simple Plan,"Drama,Crime,Thriller"
They,"Horror,Thriller"
Larry the Cable Guy: Health Inspector,"C,o,m,e,d,y"
The Adventures of Elmo in Grouchland,"F,a,m,i,l,y"
Brooklyn's Finest,"Crime,Drama,Thriller"
55 Days at Peking,"Action,Drama,History"
Evil Dead,"H,o,r,r,o,r"
My Life in Ruins,"Comedy,Romance"
American Dreamz,"Comedy,Drama,Family"
Superman IV: The Quest for Peace,"Action,Adventure,Science Fiction"
How She Move,"D,r,a,m,a"
Running Scared,"Action,Crime,Drama,Thriller"
Bobby Jones: Stroke of Genius,"D,r,a,m,a"
Shanghai Surprise,"A,d,v,e,n,t,u,r,e"
The Illusionist,"Fantasy,Drama,Thriller,Romance"
Roar,"Adventure,Thriller"
Veronica Guerin,"Drama,Crime,Thriller"
Escobar: Paradise Lost,"Thriller,Romance"
Southland Tales,"Action,Adventure,Comedy,Drama,Science Fiction,Thriller"
Dragon Hunters,"Animation,Family"
Damnation Alley,"Action,Adventure,Science Fiction"
The Apparition,"Horror,Thriller"
My Girl,"Comedy,Drama,Family"
Fur: An Imaginary Portrait of Diane Arbus,"Drama,Mystery,Romance"
Wall Street,"Crime,Drama"
Sense and Sensibility,"Drama,Romance"
Becoming Jane,"Drama,Romance"
Sydney White,"C,o,m,e,d,y"
House of Sand and Fog,"D,r,a,m,a"
Dead Poets Society,"D,r,a,m,a"
Dumb and Dumber,"C,o,m,e,d,y"
When Harry Met Sally...,"Comedy,Romance,Drama"
The Verdict,"D,r,a,m,a"
Road Trip,"Comedy,Adventure"
Varsity Blues,"Comedy,Drama,Romance"
The Artist,"Drama,Comedy,Romance"
The Unborn,"Horror,Thriller,Mystery"
Moonrise Kingdom,"Comedy,Drama,Romance"
The Texas Chainsaw Massacre: The Beginning,"H,o,r,r,o,r"
The Young Messiah,"D,r,a,m,a"
The Master of Disguise,"Comedy,Family"
Pan's Labyrinth,"Fantasy,Drama,War"
See Spot Run,"Action,Comedy,Family"
Baby Boy,"Crime,Drama,Romance"
The Roommate,"Thriller,Drama,Horror"
Joe Dirt,"Mystery,Adventure,Comedy,Romance,Drama"
Double Impact,"Thriller,Action,Crime,Drama"
Hot Fuzz,"Crime,Action,Comedy"
The Women,"Comedy,Drama,Romance"
Vicky Cristina Barcelona,"Drama,Romance"
Arn: The Knight Templar,"Action,Adventure,Drama,Romance"
Boys and Girls,"Comedy,Drama,Romance"
White Oleander,"D,r,a,m,a"
Jennifer's Body,"Comedy,Horror"
Drowning Mona,"Comedy,Crime,Mystery"
Radio Days,"Comedy,Drama"
Remember Me,"Drama,Romance"
How to Deal,"Drama,Comedy,Romance"
My Stepmother is an Alien,"Comedy,Science Fiction"
Philadelphia,"D,r,a,m,a"
The Thirteenth Floor,"Thriller,Science Fiction,Mystery"
The Cookout,"Comedy,Drama"
Meteor,"Action,Science Fiction,Thriller"
Duets,"Comedy,Drama,Music"
Hollywood Ending,"Comedy,Drama"
Detroit Rock City,"Comedy,Music"
Highlander,"Adventure,Action,Fantasy"
Things We Lost in the Fire,"D,r,a,m,a"
Steel,"Science Fiction,Action,Adventure"
The Immigrant,"Drama,Romance"
The White Countess,"Drama,History,Family,Romance"
Trance,"Thriller,Crime,Drama,Mystery"
Soul Plane,"Romance,Comedy"
Welcome to the Sticks,"C,o,m,e,d,y"
Good,"D,r,a,m,a"
Enter the Void,"Fantasy,Drama"
Vamps,"Comedy,Romance,Horror"
Hachi: A Dog's Tale,"Drama,Family"
Zulu,"Crime,Drama,Thriller"
The Homesman,"Western,Drama"
Juwanna Mann,"Comedy,Drama"
Ararat,"War,Drama"
Madison,"Action,Adventure,Drama"
Slow Burn,"Mystery,Crime,Drama,Thriller"
Wasabi,"Drama,Action,Comedy"
Slither,"Comedy,Horror,Science Fiction"
Beverly Hills Cop,"Action,Comedy,Crime"
Home Alone,"Comedy,Family"
Three Men and a Baby,"Family,Comedy,Drama"
Tootsie,"Comedy,Romance"
Top Gun,"Action,Romance,War"
"Crouching Tiger, Hidden Dragon","Adventure,Drama,Action,Romance"
American Beauty,"D,r,a,m,a"
The King's Speech,"Drama,History"
Twins,"C,o,m,e,d,y"
The Yellow Handkerchief,"Drama,Romance"
The Color Purple,"D,r,a,m,a"
Tidal Wave,"Action,Adventure,Drama,Thriller"
The Imitation Game,"History,Drama,Thriller,War"
Private Benjamin,"C,o,m,e,d,y"
Coal Miner's Daughter,"Drama,Music"
Diary of a Wimpy Kid,"Comedy,Family"
Mama,"H,o,r,r,o,r"
National Lampoon's Vacation,"Comedy,Adventure,Romance"
Bad Grandpa,"C,o,m,e,d,y"
The Queen,"D,r,a,m,a"
Beetlejuice,"Fantasy,Comedy"
Why Did I Get Married?,"Comedy,Drama"
Little Women,"Drama,Romance"
The Woman in Black,"Drama,Horror,Thriller"
When a Stranger Calls,"Horror,Thriller"
Big Fat Liar,"Comedy,Family"
The Deer Hunter,"Drama,War"
Wag the Dog,"Comedy,Drama"
The Lizzie McGuire Movie,"Family,Comedy"
Snitch,"Thriller,Drama"
Krampus,"Horror,Comedy,Fantasy"
The Faculty,"Horror,Mystery,Science Fiction"
What's Love Got to Do with It,"Drama,Music"
Cop Land,"Action,Crime,Drama"
Not Another Teen Movie,"C,o,m,e,d,y"
End of Watch,"Crime,Drama,Thriller"
The Skulls,"Crime,Drama,Thriller"
The Theory of Everything,"Drama,Romance"
Malibu's Most Wanted,"Comedy,Crime"
Where the Heart Is,"Comedy,Drama,Romance"
Lawrence of Arabia,"Adventure,Drama,History,War"
Halloween II,"H,o,r,r,o,r"
Wild,"D,r,a,m,a"
The Last House on the Left,"Crime,Thriller,Horror,Drama"
The Wedding Date,"Comedy,Romance"
Halloween: Resurrection,"Horror,Thriller"
The Princess Bride,"Adventure,Family,Fantasy,Comedy,Romance"
The Great Debaters,"D,r,a,m,a"
Drive,"Drama,Action,Thriller,Crime"
Confessions of a Teenage Drama Queen,"C,o,m,e,d,y"
The Object of My Affection,"Comedy,Drama,Romance"
28 Weeks Later,"Horror,Thriller,Science Fiction"
When the Game Stands Tall,"D,r,a,m,a"
Because of Winn-Dixie,"Comedy,Drama,Family"
Love & Basketball,"Action,Comedy,Drama,Romance"
Grosse Pointe Blank,"Action,Comedy,Thriller,Romance"
All About Steve,"C,o,m,e,d,y"
Book of Shadows: Blair Witch 2,"Mystery,Thriller,Horror"
The Craft,"Drama,Fantasy,Horror,Thriller"
Match Point,"Drama,Thriller,Crime,Romance"
Ramona and Beezus,"Comedy,Family"
The Remains of the Day,"Drama,Romance"
Boogie Nights,"D,r,a,m,a"
Nowhere to Run,"Action,Adventure,Drama,Thriller"
Flicka,"D,r,a,m,a"
The Hills Have Eyes 2,"Horror,Thriller"
Urban Legends: Final Cut,"H,o,r,r,o,r"
Tuck Everlasting,"Fantasy,Drama,Science Fiction,Romance,Family"
The Marine,"Action,Adventure,Drama,Thriller"
Keanu,"Action,Comedy"
Country Strong,"Drama,Romance"
Disturbing Behavior,"Mystery,Horror,Science Fiction"
The Place Beyond the Pines,"Drama,Crime"
The November Man,"Crime,Action,Thriller"
Eye of the Beholder,"Drama,Mystery,Thriller"
The Hurt Locker,"Drama,Thriller,War"
Firestarter,"Fantasy,Drama,Horror,Action,Thriller"
Killing Them Softly,"Crime,Thriller"
A Most Wanted Man,"T,h,r,i,l,l,e,r"
Freddy Got Fingered,"C,o,m,e,d,y"
VeggieTales: The Pirates Who Don't Do Anything,"Adventure,Animation,Comedy,Science Fiction,Family"
U2 3D,"Music,Documentary"
Highlander: Endgame,"Action,Fantasy,Science Fiction"
Idlewild,"Crime,Drama,Music"
One Day,"Drama,Romance"
Whip It,"D,r,a,m,a"
Knockaround Guys,"Crime,Thriller"
Confidence,"Action,Comedy,Thriller,Crime"
The Muse,"Fantasy,Comedy"
De-Lovely,"Drama,Music"
New York Stories,"Comedy,Drama,Romance"
Barney's Great Adventure,"F,a,m,i,l,y"
The Man with the Iron Fists,"A,c,t,i,o,n"
Home Fries,"Drama,Comedy,Romance"
Here On Earth,"R,o,m,a,n,c,e"
Brazil,"Comedy,Science Fiction"
Raise Your Voice,"Music,Drama,Romance"
The Big Lebowski,"Comedy,Crime"
Black Snake Moan,"D,r,a,m,a"
Dark Blue,"Action,Crime,Drama,Thriller"
A Mighty Heart,"Drama,Thriller"
Whatever It Takes,"Drama,Comedy,Romance"
Boat Trip,"C,o,m,e,d,y"
The Importance of Being Earnest,"Comedy,Drama,History,Romance"
The Love Letter,"Comedy,Drama,Fantasy,Romance"
Hoot,"Drama,Family"
In Bruges,"Comedy,Drama,Crime"
Peeples,"C,o,m,e,d,y"
The Rocker,"Comedy,Music"
Post Grad,"C,o,m,e,d,y"
Promised Land,"D,r,a,m,a"
Whatever Works,"Comedy,Romance"
The In Crowd,"T,h,r,i,l,l,e,r"
The Three Burials of Melquiades Estrada,"Adventure,Crime,Drama,Mystery,Western"
Jakob the Liar,"Comedy,Drama,History"
Kiss Kiss Bang Bang,"Action,Comedy,Crime,Mystery"
Idle Hands,"Thriller,Comedy,Horror"
Mulholland Drive,"Thriller,Drama,Mystery"
Blood and Chocolate,"Drama,Fantasy,Horror,Romance"
You Will Meet a Tall Dark Stranger,"Comedy,Drama,Romance"
Never Let Me Go,"Drama,Romance,Science Fiction"
The Company,"D,r,a,m,a"
Transsiberian,"Thriller,Crime,Mystery"
The Clan of the Cave Bear,"Adventure,Drama"
Crazy in Alabama,"Comedy,Drama"
Funny Games,"Horror,Thriller,Crime"
Listening,"Drama,Thriller,Science Fiction"
Felicia's Journey,"D,r,a,m,a"
Metropolis,"Drama,Science Fiction"
District B13,"Action,Thriller,Science Fiction"
Things to Do in Denver When You're Dead,"Drama,Crime"
The Assassin,"Action,Drama,History"
Buffalo Soldiers,"Drama,Comedy,War,Crime,Thriller"
The Return,"Thriller,Drama,Mystery"
Ong Bak 2,"Adventure,Action,Thriller"
Centurion,"Adventure,Action,Drama"
Silent Trigger,"Drama,Action,Thriller"
The Midnight Meat Train,"Mystery,Drama,Crime,Thriller,Horror"
Winnie Mandela,"D,r,a,m,a"
The Son of No One,"Drama,Thriller,Crime"
All The Queen's Men,"Action,Comedy,Drama,History"
The Good Night,"Comedy,Drama,Romance,Fantasy,Music"
Bathory: Countess of Blood,"Drama,Fantasy"
Khumba,"Animation,Adventure,Family"
Automata,"Thriller,Science Fiction"
Dungeons & Dragons: Wrath of the Dragon God,"Action,Adventure,Fantasy"
Chiamatemi Francesco - Il Papa della gente,"D,r,a,m,a"
Shinjuku Incident,"Drama,Action,Thriller,Crime"
Pandaemonium,"Drama,Foreign"
Groundhog Day,"Romance,Fantasy,Drama,Comedy"
Magic Mike XXL,"Comedy,Drama,Music"
Romeo + Juliet,"Drama,Romance"
Sarah's Key,"Drama,War"
Freedom,"D,r,a,m,a"
Unforgiven,"W,e,s,t,e,r,n"
Manderlay,"D,r,a,m,a"
Slumdog Millionaire,"Drama,Romance"
Fatal Attraction,"Drama,Romance,Thriller"
Pretty Woman,"Romance,Comedy"
Crocodile Dundee II,"Adventure,Comedy"
Broken Horses,"Thriller,Mystery,Drama,Crime"
Born on the Fourth of July,"Drama,War"
Cool Runnings,"C,o,m,e,d,y"
My Bloody Valentine,"Mystery,Horror"
Stomp the Yard,"Drama,Music"
The Spy Who Loved Me,"Adventure,Action,Thriller"
Urban Legend,"Horror,Thriller"
Good Deeds,"Comedy,Drama,Romance"
White Fang,"Action,Adventure,Drama,Family"
Superstar,"Comedy,Family"
The Iron Lady,"History,Drama"
Jonah: A VeggieTales Movie,"Action,Adventure,Animation,Comedy,Family,Fantasy,Romance"
Poetic Justice,"Drama,Romance"
All About the Benjamins,"Action,Adventure,Comedy"
Vampire in Brooklyn,"Comedy,Horror,Romance"
Exorcist II: The Heretic,"Horror,Thriller,Fantasy"
An American Haunting,"Horror,Thriller"
My Boss's Daughter,"Comedy,Romance"
A Perfect Getaway,"Thriller,Mystery,Adventure"
Our Family Wedding,"C,o,m,e,d,y"
Dead Man on Campus,"C,o,m,e,d,y"
Tea with Mussolini,"Comedy,Drama,War"
Thinner,"Horror,Thriller"
"New York, New York","Drama,Music,Romance"
Crooklyn,"Comedy,Drama"
I Think I Love My Wife,"Comedy,Romance"
Jason X,"Horror,Science Fiction"
Bobby,"History,Drama"
Head Over Heels,"Comedy,Romance"
Fun Size,"C,o,m,e,d,y"
The Diving Bell and the Butterfly,"D,r,a,m,a"
Little Children,"Romance,Drama"
Gossip,"Drama,Mystery,Thriller"
A Walk on the Moon,"Drama,Romance"
Catch a Fire,"Action,Drama,Thriller"
Soul Survivors,"Horror,Mystery,Thriller"
Jefferson in Paris,"Drama,Romance"
Easy Virtue,"Comedy,Romance"
Caravans,"Action,Adventure,Drama,Romance"
Mr. Turner,"History,Drama"
Wild Grass,"Drama,Romance"
Amen.,"Drama,History"
Reign of Assassins,"History,Action"
The Lucky Ones,"Comedy,Drama,History"
Margaret,"D,r,a,m,a"
Stan Helsing,"Comedy,Horror"
Flipped,"Romance,Drama"
Brokeback Mountain,"Drama,Romance"
Clueless,"Comedy,Drama,Romance"
Far from Heaven,"Drama,Romance"
Hot Tub Time Machine 2,"C,o,m,e,d,y"
Quills,"D,r,a,m,a"
Seven Psychopaths,"Comedy,Crime"
The Caveman's Valentine,"Drama,Mystery,Thriller"
Downfall,"Drama,History,War"
The Sea Inside,"D,r,a,m,a"
Under the Skin,"Thriller,Science Fiction,Drama"
"Good Morning, Vietnam","Comedy,Drama,War"
The Last Godfather,"Action,Comedy,Thriller"
Justin Bieber: Never Say Never,"Documentary,Music,Family"
Black Swan,"Drama,Thriller"
The Godfather: Part II,"Drama,Crime"
Save the Last Dance,"Drama,Family,Romance,Music"
A Nightmare on Elm Street 4: The Dream Master,"Horror,Thriller"
Miracles from Heaven,"D,r,a,m,a"
"Dude, Where’s My Car?","C,o,m,e,d,y"
Young Guns,"Crime,Action,Adventure,Drama,Western"
St. Vincent,"C,o,m,e,d,y"
About Last Night,"Comedy,Romance"
10 Things I Hate About You,"Comedy,Romance,Drama"
The New Guy,"Comedy,Family"
National Lampoon's Loaded Weapon 1,"C,o,m,e,d,y"
The Shallows,"Horror,Drama,Thriller"
The Butterfly Effect,"Science Fiction,Thriller"
Snow Day,"Comedy,Family"
This Christmas,"Comedy,Drama"
Baby Geniuses,"Science Fiction,Comedy,Family"
The Big Hit,"Action,Adventure,Comedy,Thriller"
Harriet the Spy,"Comedy,Drama,Family"
Child's Play 2,"Drama,Horror"
No Good Deed,"Crime,Thriller"
The Mist,"Science Fiction,Horror,Thriller"
Ex Machina,"Drama,Science Fiction"
Being John Malkovich,"Fantasy,Drama,Comedy"
Two Can Play That Game,"Comedy,Romance"
Earth to Echo,"Family,Adventure,Science Fiction"
Crazy/Beautiful,"Drama,Romance"
Letters from Iwo Jima,"Action,Adventure,Drama,War"
The Astronaut Farmer,"Adventure,Comedy,Drama,Science Fiction"
Woo,"Comedy,Romance"
Room,"Drama,Thriller"
Dirty Work,"C,o,m,e,d,y"
Serial Mom,"Comedy,Crime,Horror,Thriller"
Dick,"C,o,m,e,d,y"
Light It Up,"Drama,Thriller"
54,"Music,Drama"
Bubble Boy,"Adventure,Comedy,Drama,Romance"
Birthday Girl,"Comedy,Crime,Thriller"
21 & Over,"C,o,m,e,d,y"
"Paris, je t'aime","Drama,Romance"
Resurrecting the Champ,"D,r,a,m,a"
Admission,"Comedy,Drama,Romance"
The Widow of Saint-Pierre,"Romance,Drama"
Chloe,"Drama,Thriller,Mystery"
Faithful,"Comedy,Crime,Drama"
Find Me Guilty,"Drama,Action,Comedy,Crime"
The Perks of Being a Wallflower,"Drama,Romance"
Excessive Force,"A,c,t,i,o,n"
Infamous,"D,r,a,m,a"
The Claim,"Drama,Romance,Western"
The Vatican Tapes,"Thriller,Horror"
Attack the Block,"Action,Comedy,Science Fiction"
In the Land of Blood and Honey,"Drama,Romance,War"
The Call,"Crime,Thriller"
Operation Chromite,"History,Drama,War,Action"
The Crocodile Hunter: Collision Course,"Family,Action,Adventure"
I Love You Phillip Morris,"Comedy,Drama,Romance"
Quest for Fire,"Adventure,Drama"
Antwone Fisher,"Drama,Romance"
The Emperor's Club,"Drama,Romance"
True Romance,"Action,Thriller,Crime,Romance"
Womb,"Romance,Science Fiction"
Glengarry Glen Ross,"Crime,Drama,Mystery"
The Killer Inside Me,"Crime,Drama,Thriller"
Cat People,"Drama,Fantasy,Horror,Thriller"
Sorority Row,"Horror,Mystery,Thriller"
The Prisoner of Zenda,"Adventure,Drama,Romance"
Lars and the Real Girl,"Comedy,Romance,Drama"
The Boy in the Striped Pyjamas,"War,Drama"
Dancer in the Dark,"Drama,Crime,Music"
Oscar and Lucinda,"Drama,Romance"
The Funeral,"Crime,Drama"
Solitary Man,"Comedy,Drama,Romance"
Machete,"Action,Comedy,Thriller"
Casino Jack,"Crime,Comedy,Drama"
The Land Before Time,"Animation,Adventure,Family"
Tae Guk Gi: The Brotherhood of War,"Action,Adventure,Drama,History,War"
The Perfect Game,"Drama,Family"
The Exorcist,"Drama,Horror,Thriller"
Jaws,"Horror,Thriller,Adventure"
American Pie,"Comedy,Romance"
Ernest & Celestine,"Animation,Comedy,Drama,Family"
The Golden Child,"Action,Adventure,Comedy"
Think Like a Man,"Comedy,Romance"
Barbershop,"Comedy,Drama"
Star Trek II: The Wrath of Khan,"Action,Adventure,Science Fiction,Thriller"
Ace Ventura: Pet Detective,"Comedy,Mystery"
WarGames,"Thriller,Science Fiction"
Witness,"Crime,Drama,Romance,Thriller"
Act of Valor,"Action,Thriller,War"
Step Up,"Music,Drama,Romance,Crime"
Beavis and Butt-Head Do America,"Animation,Comedy"
Jackie Brown,"Comedy,Crime,Romance"
Harold & Kumar Escape from Guantanamo Bay,"Comedy,Adventure"
Chronicle,"Science Fiction,Drama,Thriller"
Yentl,"Music,Drama,Romance"
Time Bandits,"Family,Fantasy,Science Fiction,Adventure,Comedy"
Crossroads,"Action,Adventure,Comedy,Drama,Family,Music,Romance"
Project X,"Comedy,Crime"
Patton,"Drama,History,War"
One Hour Photo,"Horror,Thriller"
Quarantine,"Horror,Science Fiction,Thriller"
The Eye,"Drama,Horror,Thriller"
Johnson Family Vacation,"Comedy,Family"
How High,"C,o,m,e,d,y"
The Muppet Christmas Carol,"Comedy,Family,Fantasy,Drama"
Frida,"Drama,Romance"
Katy Perry: Part of Me,"Documentary,Music"
The Fault in Our Stars,"Romance,Drama"
Rounders,"Drama,Crime"
Top Five,"Drama,Comedy"
Prophecy,"Horror,Science Fiction"
Stir of Echoes,"Horror,Mystery,Thriller"
Philomena,"D,r,a,m,a"
The Upside of Anger,"Comedy,Drama"
The Boys from Brazil,"Horror,Drama,Thriller,Science Fiction"
Aquamarine,"Fantasy,Romance,Family,Comedy"
Paper Towns,"Drama,Mystery,Romance"
My Baby's Daddy,"C,o,m,e,d,y"
Nebraska,"Drama,Adventure"
Tales from the Crypt: Demon Knight,"Horror,Comedy,Thriller"
Max Keeble's Big Move,"Comedy,Family,Fantasy,Science Fiction"
Young Adult,"Comedy,Drama"
Crank,"Action,Thriller,Crime"
Def Jam's How to Be a Player,"Comedy,Romance"
Living Out Loud,"Comedy,Drama,Romance"
Just Wright,"Comedy,Drama,Romance"
Rachel Getting Married,"D,r,a,m,a"
The Postman Always Rings Twice,"Romance,Crime,Drama"
Girl with a Pearl Earring,"Drama,Romance"
Das Boot,"Action,Drama,History,War,Adventure"
Sorority Boys,"C,o,m,e,d,y"
About Time,"Comedy,Drama,Science Fiction"
House of Flying Daggers,"Adventure,Drama,Action,Romance"
Arbitrage,"Drama,Thriller"
Project Almanac,"Science Fiction,Thriller"
Cadillac Records,"Drama,History,Music"
Screwed,"Action,Comedy"
Fortress,"Action,Thriller,Science Fiction"
For Your Consideration,"Comedy,Drama"
Celebrity,"Drama,Comedy"
Running with Scissors,"Drama,Comedy"
From Justin to Kelly,"Comedy,Romance"
Girl 6,"C,o,m,e,d,y"
In the Cut,"Mystery,Thriller"
Two Lovers,"Drama,Romance"
Last Orders,"Comedy,Drama"
The Host,"Horror,Drama,Science Fiction"
The Pursuit of D.B. Cooper,"Adventure,Crime,Thriller"
Ravenous,"Comedy,Horror,Thriller,Western"
